id,kabupaten_id,skema,pemegang_izin,desa,kecamatan,nomor_sk,tanggal_sk,masa_berlaku,tanggal_berakhir_izin,nomor_pks,luas_ha,jenis_hutan,status_kawasan,rkps_status,peta_status,keterangan,fasilitator,jumlah_kk,created_at,updated_at
6892d8c9-b620-49aa-8a1b-95f10fb9e732,GUNUNG MAS,HA,DAYAK OT DANUM,TUMBANG MARIKOI,DAMANG BATU,7923/MENLHK-PSKL/PKTHA/PSL.1/8/2023,3 Agust 2023,-,,"27/Y,AMAL/PKS/GUMAS/VIII/2025","3,123.00",Mineral,------,ada,ada,,AMAL,81,2026-01-08 01:47:05.807+00,2026-01-08 02:48:46.858961+00
316e0768-2da5-46bc-a949-70cb95726af3,GUNUNG MAS,HKM,JAGA ASAM,TUMBANG POSU,DAMANG BATU,1276/MENLHK-PSKL/PKPS/PSL.0/3/2018,27/03/2018,35 TAHUN,27/03/2053,"11/Y,AMAL/PKS/GUMAS/VIII/2025",472.70,Mineral,HPT,tidak ada,ada,,AMAL,380,2026-01-08 01:47:01.212+00,2026-01-08 02:48:43.238761+00
6f88317c-4055-44eb-840c-3ce33a7388b4,GUNUNG MAS,HA,DAYAK OT DANUM LOWU TUMBANG MOHUROI,TUMBANG.MAHUROI,DAMANG BATU,7913/MENLHK-PSKL/PKTHA/PSL.1/8/2023,3 Agust 2023,-,-,"20Y,AMAL/PKS/GUMAS/VIII/2025","7,444.00",Mineral,------,ada,ada,,AMAL,154,2026-01-08 01:46:58.379+00,2026-01-08 02:48:47.041623+00
4282f823-fc0a-461d-882c-fd9b23f59c93,PULANG PISAU,LPHD,BUNTOI,BUNTOI,KAHAYAN HILIR,SK Penetapan HD Buntoi NO.586/Menhut-II/2012 dan SK Pengelola HD Buntoi NO.188.44/969/2013,25 September 2012,35 TAHUN,,02/Y.AMAL/PKS/PULPIS/VIII/2025,"7,025",GAMBUT,HL,tidak ada,ada,,AMAL,95,2026-01-08 01:47:08.895+00,2026-01-08 02:48:44.166257+00
d51fc493-69d2-4e0b-af1d-72875239a73a,PULANG PISAU,HTR,GAPOKTAN BUNTOI,BUNTOI,KAHAYAN HILIR,SK.6574/Menlhk-PSKL/PS.0/12/2016,15 Desember 2016,35 TAHUN,,03/Y.AMAL/PKS/PULPIS/VIII/2025,236,GAMBUT,HL,tidak ada,ada,,AMAL,177,2026-01-08 01:47:08.577+00,2026-01-08 02:48:40.849285+00
a3790f2d-d08f-4557-8b58-c0fd15a404b7,PULANG PISAU,LPHD,GOHONG,GOHONG,KAHAYAN HILIR,SK Penetapan HD Gohong No.587/Menhut-II/2012 dan SK Pengelolaan HD Gohong No. 188.44/971/2013,17 oktober 2012,35 TAHUN,,01/Y.AMAL/PKS/PULPIS/VIII/2025,"3,155",GAMBUT,HL,tidak ada,ada,,AMAL,94,2026-01-08 01:47:08.735+00,2026-01-08 02:48:44.360167+00
d857dc9f-fdeb-4dc1-905e-f9d2e8e6881a,PULANG PISAU,HTR,GAPOKTAN SENGON,KALAWA,KAHAYAN HILIR,SK.2071/Menlhk-PSKL/PS.0/4/2017,11 April 2017,35 TAHUN,,04/Y.AMAL/PKS/PULPIS/VIII/2025,521,GAMBUT,HL,tidak ada,ada,,AMAL,230,2026-01-08 01:47:08.401+00,2026-01-08 02:48:40.946272+00
00387861-d7b2-4d9b-bf6b-800a51b1944b,PULANG PISAU,LPHD,BAHU PALAWA,BAHU PALAWA,KAHAYAN TENGAH,SK.10384/MENLHK-PSKL/PKPS/PSL.0/12/2019,12/26/2019,35 TAHUN,,09/Y.AMAL/PKS/PULPIS/XII/2025,397,GAMBUT,HD,tidak ada,ada,,AMAL,104,2026-01-08 01:47:07.554+00,2026-01-12 00:04:34.304113+00
f9204367-2475-414d-aace-69f4eaf782f6,PULANG PISAU,LPHD,BALUKON,BALUKON,KAHAYAN TENGAH,SK.10385/MENLHK-PSKL/PKPS/PSL.0/12/2019,12/26/2019,35 TAHUN,,11/Y.AMAL/PKS/PULPIS/XII/2025,"1,485",GAMBUT,HD,tidak ada,ada,,AMAL,104,2026-01-08 01:47:07.233+00,2026-01-08 02:48:43.911624+00
28e11d67-9f6b-4078-94f3-0d8d95298090,PULANG PISAU,LPHD,BUKIT BAMBA,BUKIT BAMBA,KAHAYAN TENGAH,SK.10387/MENLHK-PSKL/PKPS/PSL.0/12/2019,12/26/2019,35 TAHUN,,07/Y.AMAL/PKS/PULPIS/XII/2025,"1,216",GAMBUT,HD,tidak ada,ada,,AMAL,117,2026-01-08 01:47:07.888+00,2026-01-08 02:48:44.071745+00
fa4aebd7-a602-4425-a899-8022e103e8f4,PULANG PISAU,LPHD,PAMARUNAN,PAMARUNAN,KAHAYAN TENGAH,SK.10886/MENLHK-PSKL/PKPS/PSL.0/12/2019,12/31/2019,35 TAHUN,,08/Y.AMAL/PKS/PULPIS/XII/2025,"1,045",GAMBUT,HD,tidak ada,ada,,AMAL,101,2026-01-08 01:47:01.534+00,2026-01-08 02:48:48.458457+00
